parent_uid	child_uid	child_asset_type
L0C04FQ8L	L0C04FMGF	.jpg.ldcc
L0C04FQ8L	L0C04FPK4	.ltf.xml
L0C04FQ8L	L0C04FVK9	.jpg.ldcc
L0C04FQ8L	L0C04FVKA	.jpg.ldcc
L0C04FQ8L	L0C04FVK7	.jpg.ldcc
L0C04FQ8L	L0C04FVK8	.jpg.ldcc
L0C04FQ8L	L0C04FVKD	.jpg.ldcc
L0C04FQ8L	L0C04FYAK	.ltf.xml
L0C04FR7U	L0C04FPBD	.png.ldcc
L0C04FR7U	L0C04FPBA	.png.ldcc
L0C04FR7U	L0C04FPB9	.jpg.ldcc
L0C04FR9W	L0C04FR8A	.jpg.ldcc
L0C04FRCP	L0C04FRHS	.ltf.xml
L0C04FRCP	L0C04FR8C	.png.ldcc
L0C04FRE2	L0C04FMCE	.jpg.ldcc
L0C04FRFB	L0C04FPK0	.ltf.xml
L0C04FVHB	L0C04FLA9	.jpg.ldcc
L0C04FVHB	L0C04FLA8	.png.ldcc
L0C04FVHS	L0C04FLA7	.png.ldcc
L0C04FVHS	L0C04FLA6	.jpg.ldcc
L0C04FVHS	L0C04FLA5	.jpg.ldcc
L0C04FVHS	L0C04FLA2	.jpg.ldcc
L0C04FVHS	L0C04FLA1	.jpg.ldcc
L0C04FVID	L0C04FLA0	.jpg.ldcc
L0C04FVK3	L0C04FL9Z	.png.ldcc
L0C04FVK3	L0C04FJPQ	.jpg.ldcc
L0C04FVK3	L0C04FJPX	.ltf.xml
L0C04FVK3	L0C04FOH6	.jpg.ldcc
L0C04FVK3	L0C04FQEM	.ltf.xml
L0C04FVK3	L0C04FQ1N	.jpg.ldcc
L0C04FVK3	L0C04FQ1O	.jpg.ldcc
L0C04FVK3	L0C04FQCU	.ltf.xml
L0C04FVK3	L0C04FP9B	.png.ldcc
L0C04G3MF	L0C04FP9A	.png.ldcc
L0C04G3MF	L0C04FOCY	.jpg.ldcc
L0C04G3MZ	L0C04FQEE	.ltf.xml
L0C04G3MZ	L0C04FP9E	.jpg.ldcc
L0C04G3NJ	L0C04FQFS	.ltf.xml
L0C04G3NJ	L0C04FP9A	.png.ldcc
L0C04G467	L0C04FP9B	.png.ldcc
L0C04G467	L0C04GF63	.jpg.ldcc
L0C04G467	L0C04GF7U	.jpg.ldcc
L0C04GANX	L0C04GF73	.jpg.ldcc
L0C04GANX	L0C04GF6Z	.jpg.ldcc
L0C04GANX	L0C04GF74	.jpg.ldcc
L0C04GANX	L0C04GF6C	.jpg.ldcc
L0C04GANX	L0C04GF6R	.jpg.ldcc
L0C04GANX	L0C04GF64	.jpg.ldcc
L0C04GANX	L0C04GF7R	.jpg.ldcc
L0C04GANX	L0C04GF7T	.jpg.ldcc
L0C04GANX	L0C04GF62	.jpg.ldcc
L0C04GANX	L0C04GF6T	.jpg.ldcc
L0C04GANX	L0C04GF72	.jpg.ldcc
L0C04GANX	L0C04GF6S	.jpg.ldcc
L0C04GAPZ	L0C04GF6B	.jpg.ldcc
L0C04GAPZ	L0C04GF6M	.jpg.ldcc
L0C04GAPZ	L0C04GF7S	.jpg.ldcc
L0C04GAVE	L0C04GF7B	.jpg.ldcc
L0C04GAVE	L0C04GF6P	.jpg.ldcc
L0C04GAVE	L0C04GF79	.jpg.ldcc
L0C04GAVE	L0C04GF6A	.jpg.ldcc
L0C04GAVE	L0C04GF6N	.jpg.ldcc
L0C04GAVE	L0C04GF80	.jpg.ldcc
L0C04GAVE	L0C04GF66	.jpg.ldcc
L0C04GAVE	L0C04GF69	.jpg.ldcc
L0C04GBT0	L0C04GF7A	.jpg.ldcc
L0C04GBT0	L0C04GF7W	.jpg.ldcc
L0C04GBT0	L0C04GF7F	.jpg.ldcc
L0C04GBTJ	L0C04GF6X	.jpg.ldcc
L0C04GBTJ	L0C04GF71	.jpg.ldcc
L0C04GBTJ	L0C04GF6O	.jpg.ldcc
L0C04GF5X	L0C04GF6Q	.jpg.ldcc
L0C04GF5X	L0C04GF7Q	.jpg.ldcc
L0C04GF5X	L0C04GF81	.jpg.ldcc
L0C04GF5X	L0C04GF7H	.jpg.ldcc
L0C04GF5X	L0C04GF7V	.jpg.ldcc
L0C04GF5X	L0C04GF6Y	.jpg.ldcc
L0C04GF5X	L0C04GFD3	.ltf.xml
L0C04GF5X	L0C04GF6U	.png.ldcc
L0C04GF5X	L0C04GF6D	.png.ldcc
L0C04GF5X	L0C04GF6K	.png.ldcc
L0C04GF5X	L0C04GF7Z	.png.ldcc
L0C04GF5X	L0C04GF7K	.png.ldcc
L0C04GF5X	L0C04GF7D	.png.ldcc
L0C04GF5X	L0C04GF7C	.png.ldcc
L0C04GF5X	L0C04GF7L	.png.ldcc
L0C04GF5X	L0C04GF6L	.png.ldcc
L0C04GF5X	L0C04GF6J	.png.ldcc
L0C04GF5X	L0C04GF6E	.png.ldcc
L0C04GF5X	L0C04GF7E	.png.ldcc
L0C04GF5X	L0C04GF7J	.png.ldcc
L0C04GF5X	L0C04GF7M	.png.ldcc
L0C04GF5X	L0C04GF65	.png.ldcc
L0C04GF5X	L0C04GF75	.png.ldcc
L0C04GF5X	L0C04GF7N	.png.ldcc
L0C04GF5X	L0C04GF7P	.png.ldcc
L0C04GF5X	L0C04GF76	.png.ldcc
L0C04GF5X	L0C04GF6I	.png.ldcc
L0C04GF5X	L0C04GF6F	.png.ldcc
L0C04GF5X	L0C04GF6W	.png.ldcc
L0C04GF5X	L0C04GF7I	.png.ldcc
L0C04GF5X	L0C04GF7X	.png.ldcc
L0C04GF5X	L0C04GF68	.png.ldcc
L0C04GF5X	L0C04GF67	.png.ldcc
L0C04GF5X	L0C04GF7O	.png.ldcc
L0C04GF5X	L0C04GF77	.png.ldcc
L0C04GF5X	L0C04GF78	.png.ldcc
L0C04GF5X	L0C04GF6V	.png.ldcc
L0C04GF5X	L0C04GF6G	.png.ldcc
L0C04GF5X	L0C04GF6H	.png.ldcc
L0C04GF5X	L0C04GF70	.png.ldcc
L0C04GF5X	L0C04GF7Y	.png.ldcc
L0C04GF5X	L0C04GF7G	.png.ldcc
L0C04GF5X	L0C04GHFN	.jpg.ldcc
L0C04GF5X	L0C04GHG9	.jpg.ldcc
L0C04GF5X	L0C04GHGA	.jpg.ldcc
L0C04GF5X	L0C04GHG1	.jpg.ldcc
